name,ticker,morningstarCode
Vanguard Wellesley Income Fund Investor Shares (VWINX),VWINX,FOUSA00FV9
Vanguard Wellington<sup>&trade;</sup> Fund Investor Shares (VWELX),VWELX,FOUSA00FVM
MFS Total Return Fund Class I (MTRIX),MTRIX,FOUSA00FYK
Dodge & Cox Balanced Fund Class I (DODBX),DODBX,FOUSA00C3I
Fidelity Puritan Fund (FPURX),FPURX,FOUSA00CI3
T. Rowe Price Balanced Fund (RPBAX),RPBAX,FOUSA00BAN
Franklin Income Fund Class A1 (FKINX),FKINX,FOUSA00CSN
Pax Sustainable Allocation Fund Class Institutional (PAXIX),PAXIX,FOUSA06BX6
DWS Global Income Builder Fund - Class Inst (KTRIX),KTRIX,FOUSA00EWO
Mairs & Power Balanced Fund (MAPOX),MAPOX,FOUSA00EPS
Eaton Vance Balanced Fund Class I (EIIFX),EIIFX,F00000OUP1
Franklin Income Fund Class A (FKIQX),FKIQX,F00001138P
MFS Total Return Fund Class A (MSFRX),MSFRX,FOUSA00DOU
Invesco Equity and Income Fund Class A (ACEIX),ACEIX,FOUSA00EM2
Touchstone Balanced Fund Class Y (SIBLX),SIBLX,FOUSA06J76
Virtus Tactical Allocation Fund Class I (VTAIX),VTAIX,F000011X4S
First Eagle Global Fund Class I (SGIIX),SGIIX,FOUSA00JC6
Value Line Capital Appreciation Fund Inc. Institutional Class (VLIIX),VLIIX,F00000W864
DWS Global Income Builder Fund - Class A (KTRAX),KTRAX,FOUSA00DC6
Pax Sustainable Allocation Fund Investor Class (PAXWX),PAXWX,FOUSA00EEM
George Putnam Balanced Fund Class A (PGEOX),PGEOX,FOUSA00EON
Eaton Vance Balanced Fund Class A (EVIFX),EVIFX,FOUSA00C8L
Putnam Convertible Securities Fund Class A (PCONX),PCONX,FOUSA00EO9
Federated Hermes Global Allocation Fund Institutional Shares (SBFIX),SBFIX,F000002PJ5
Touchstone Balanced Fund Class A (SEBLX),SEBLX,FOUSA00F3F
Value Line Capital Appreciation Fund Inc. Investor Class (VALIX),VALIX,FOUSA00FPY
Virtus Tactical Allocation Fund Class A (NAINX),NAINX,FOUSA00E1P
Franklin Mutual Shares Fund Class A (TESIX),TESIX,FOUSA00FZ2
First Eagle Global Fund Class A (SGENX),SGENX,FOUSA00F8G
Franklin Income Fund Class C (FCISX),FCISX,FOUSA00CJI
AB Global Risk Allocation Fund Class A (CABNX),CABNX,FOUSA00E3L
Federated Hermes Global Allocation Fund Class A Shares (FSTBX),FSTBX,FOUSA00BGL
MFS Total Return Fund Class B (MTRBX),MTRBX,FOUSA00DH6
MFS Total Return Fund Class C (MTRCX),MTRCX,FOUSA00EWI
Invesco Equity and Income Fund Class C (ACERX),ACERX,FOUSA00FMU
George Putnam Balanced Fund Class B (PGEBX),PGEBX,FOUSA00EOO
George Putnam Balanced Fund Class C (PGPCX),PGPCX,FOUSA00IJX
Eaton Vance Balanced Fund Class C (ECIFX),ECIFX,FOUSA00FM5
DWS Global Income Builder Fund - Class C (KTRCX),KTRCX,FOUSA00C9Z
Putnam Convertible Securities Fund Class B (PCNBX),PCNBX,FOUSA00FHV
Putnam Convertible Securities Fund Class C (PRCCX),PRCCX,FOUSA008LH
Franklin Mutual Shares Fund Class C (TEMTX),TEMTX,FOUSA00KUJ
Touchstone Balanced Fund Class C (SBACX),SBACX,FOUSA00KY5
Virtus Tactical Allocation Fund Class C (POICX),POICX,FOUSA00H0X
First Eagle Global Fund Class C (FESGX),FESGX,FOUSA02TF2
AB Global Risk Allocation Fund Class C (CBACX),CBACX,FOUSA00C1H
Federated Hermes Global Allocation Fund Class C Shares (FSBCX),FSBCX,FOUSA00L4P
Federated Hermes Global Allocation Fund Class B Shares (FSBBX),FSBBX,FOUSA00IXS